ano,local,autor,titulo,link
2017,Portland,Dawn Parzych,"Aligning Business, Engineering and Operations with Actionable Metrics",https://devopsdays.org/events/2017-portland/program/dawn-parzych
2017,Portland,Kristen Gallagher,You Can’t Always Get What You Want (Or Can You?),https://devopsdays.org/events/2017-portland/program/kristen-gallagher
2017,Portland,Kelsey Hightower,Real Time Config: Enforcing Policies with Kubernetes Initializers,https://devopsdays.org/events/2017-portland/program/kelsey-hightower
2017,Portland,Max Timchenko,I got a lot of problems with infrastructure-as-code and now you're gonna hear about it,https://devopsdays.org/events/2017-portland/program/max-timchenko
2017,Portland,Christopher Aedo,Things to Know About the Istio Project,https://devopsdays.org/events/2017-portland/program/christopher-adeo
2017,Portland,Mike Place,Event Driven Infrastructure,https://devopsdays.org/events/2017-portland/program/mike-place
2017,Portland,Kristen Accardi,Deploying Kubernetes Clusters with the Ciao Project,https://devopsdays.org/events/2017-portland/program/kristen-accardi
2017,Portland,Eric Maxwell,Building security into your workflow with InSpec,https://devopsdays.org/events/2017-portland/program/inspec
2017,Portland,Dustin Kirkland,"Bare Metal Kubernetes -- More Containers, Less Overhead",https://devopsdays.org/events/2017-portland/program/dustin-kirkland
2017,Portland,Gene Liverman,Windows Configuration Management with Puppet,https://devopsdays.org/events/2017-portland/program/gene-liverman
2017,Portland,William Henry,DevSecOps the Open Source Way,https://devopsdays.org/events/2017-portland/program/william-henry
2017,Portland,James Shubin,Next Generation Config Mgmt: The Language,https://devopsdays.org/events/2017-portland/program/james-shubin
2017,Portland,Torin Sandall,Enforcing Bespoke Policies in a Cloud Native System,https://devopsdays.org/events/2017-portland/program/torin-sandall
2017,Portland,Dan Bode,Configuration Management -> Container Scheduling,https://devopsdays.org/events/2017-portland/program/dan-bode
2017,Portland,Dennis Kliban,From Test to Prod with Containers,https://devopsdays.org/events/2017-portland/program/dennis-kliban
2017,Portland,Anubhav Mishra,Taming Terraform workflow using modules and Github for change management.,https://devopsdays.org/events/2017-portland/program/anubhav-mishra
2017,Portland,Soam Vasani,Fission: Serverless Functions for Kubernetes,https://devopsdays.org/events/2017-portland/program/soam-vasani
2017,Portland,Eric Sorenson,20 years of Configuration Management,https://devopsdays.org/events/2017-portland/program/eric-sorenson
2017,Dallas,- Opening Welcome by Capital One | Dalia Soliman-Power,VP Software Engineering and Division CIO/CTO,https://devopsdays.org/events/2017-dallas/program/welcome-day1
2017,Dallas,Adam Jacob,Keynote Speaker,https://devopsdays.org/events/2017-dallas/program/adam-jacob
2017,Dallas,Manah Khalil,Root-Causing Culture Impact on the Secure-by-Design Transformation,https://devopsdays.org/events/2017-dallas/program/manah-khalil
2017,Dallas,Carlos Nuñez,On the difference between configuration management and provisioning.,https://devopsdays.org/events/2017-dallas/program/carlos-nunez
2017,Dallas,John Willis,Devops Kaizen,https://devopsdays.org/events/2017-dallas/program/john-willis
2017,Dallas,- Opening Welcome by Capital One | Arjun Dugal,CTO of Financial Services,https://devopsdays.org/events/2017-dallas/program/welcome-day2
2017,Dallas,Ken Mugrage,Keynote Speaker | Everything I need to know about DevOps I learned in The Marines,https://devopsdays.org/events/2017-dallas/program/ken-mugrage
2017,Dallas,Chloe Condon,Why You Need to Stop Using THE Staging Server,https://devopsdays.org/events/2017-dallas/program/chloe-condon
2017,Dallas,Mark Andersen,"Recipe for DevOps Success, Capital One Style",https://devopsdays.org/events/2017-dallas/program/mark-andersen
2017,Dallas,Paul Grizzaffi,I'm Hunting Sasquatch – Finding Intermittent Issues Using Periodic Automation,https://devopsdays.org/events/2017-dallas/program/paul-grizzaffi
2017,London,"Emma Jane Hogbin Westby, Dan Young",Humane Teams At Home and Around the World,https://devopsdays.org/events/2017-london/program/dan-young-emma-jane
2017,London,Igor Galić,"Ops to Dev - What to bring, what to leave",https://devopsdays.org/events/2017-london/program/igor-galic
2017,London,Sally Goble,Not Wrong Long - is perfect software necessary in the world of continuous delivery?,https://devopsdays.org/events/2017-london/program/sally-goble
